r,delta_logpsi
1.250492,-0.90398724
1.8423851,-0.8983093
2.1825702,-0.91350163
2.412774,-0.91681429
2.5879526,-0.93158104
2.7569659,-0.93588033
2.8834101,-0.92255001
3.0124389,-0.93943685
3.1413396,-0.90945568
3.2585622,-0.94568559
3.3708018,-0.94860533
3.4744022,-0.93904508
3.577151,-0.97437731
3.6902077,-0.99920373
3.7846319,-0.99768321
3.8688252,-0.98068751
3.949133,-0.99266727
4.0545659,-1.0144659
4.1521303,-1.0045187
4.2412932,-1.0208321
4.3154076,-1.0454002
4.4015277,-0.99109794
4.4980696,-1.0369547
4.6411778,-1.0217281
4.7707618,-1.0420154
4.8896029,-1.0807668
5.0594569,-1.1053303
5.2459008,-1.0995534
5.5342886,-1.1468319
6.1000987,-1.2001025
