step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.89298631,0.10750116,9.9132046e+11,2.6750493,866
157,0.83876079,0.14279981,9.95865e+11,2.2813215,864
396,0.87585399,0.068125475,9.9378701e+11,2.03854,859
1000,0.83144935,0.086642304,9.8813717e+11,1.9764692,900
1600,0.6765458,0.028873456,9.8784404e+11,1.9445586,1094
