omega,arch,n_params,deff_tangent,no_pr,ratio,no_trace,no_lead_occ,grid_half
1.0,CTNN,66498,1.2143402510300614,2.103683501809866,0.5772447471234745,3.0590934827691987,2.0505418915279394,4.0
1.0,DeepSet,34354,3.377883565516109,2.336141336105858,1.445924316868064,3.0415472782873465,1.917898179295594,4.0
0.5,CTNN,66498,1.2734728402562971,2.2461720117994295,0.5669525012183311,3.1104431119703486,2.012141594588589,5.65685424949238
0.5,DeepSet,34354,3.384611939921919,2.67943493384509,1.2631812391371915,2.9827650528758207,1.726150212134707,5.65685424949238
0.1,CTNN,66498,1.7974403381151955,3.4414567873178115,0.5222905441494958,2.910467873797212,1.4317180830891236,13.217456437138274
0.1,DeepSet,34354,3.622299437265064,3.3634151841663376,1.0769706500456602,2.855219732696361,1.4060714732392225,13.1741336696989
0.01,CTNN,66498,5.2136616102577245,6.191914505403366,0.8420112399336311,1.8682214570081355,0.5281055637602678,52.34064929340352
0.01,DeepSet,34354,3.23913232677208,5.936876585429222,0.5455953614939257,1.8845350320841077,0.5245502660906904,53.59214137850434
