model,family,n_params,eff_rank_pooled,eff_rank_ctnnpts,eff_rank_dspts,kappa
ctnn_seed1,CTNN,66498,1.5040753885724427,1.4669400377854,1.5021676575414677,2743750227.7406654
ctnn_seed2,CTNN,66498,1.195116647042934,1.178739165885785,1.191195492065972,207468274782.75388
ctnn_2x2sr,CTNN,66498,1.6608206331750976,1.6168998899231,1.6575342939092763,4671358671.839624
deepset_s_20k,DeepSet,6874,3.633892930867838,3.424246433815379,3.6066809684340684,927891614613.2037
deepset_m_48k,DeepSet,34354,3.3662159645971697,3.109984026110145,3.3182496064194082,996114639568.7595
deepset_match_89k,DeepSet,76106,3.6471724193553445,3.4233549470956026,3.6218006047223636,994775971615.0034
deepset_xl_164k,DeepSet,150754,2.944966505944914,2.7254424980707985,2.8968345773847384,994918258963.2557
