step,E_raw,E_clip,stderr,var
62,3.0035122,3.0001639,0.0039704747,0.019389522
88,2.9972095,3.0045617,0.0018709945,0.0047553006
126,3.002012,3.0099913,0.0021225131,0.0033801902
179,3.0031554,3.0081575,0.0010286495,0.0010072734
254,2.9991886,2.9996876,0.00074107861,0.00053720009
362,3.0022033,3.0000435,0.00047912101,0.00019921078
514,3.000879,2.9990875,0.00032901132,0.00012119376
732,2.9991628,2.9993942,0.00023430466,5.6406914e-05
1041,2.9997757,2.9995681,0.00016880847,4.3444422e-05
1482,3.0003511,3.0002399,0.00019014148,2.9127115e-05
2108,2.9997308,2.9998485,0.00017283501,2.4704245e-05
3000,2.9996535,3.0000643,0.00011891721,1.2986837e-05
3500,2.9999941,3.0001242,2.9625438e-05,7.8642497e-06
