step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99919023,0.37010254,9.8722435e+11,3.3152478,723
88,0.99956988,0.2188676,9.8409835e+11,3.3349132,698
126,0.99992345,0.19436597,9.994714e+11,3.416274,698
179,0.99989832,0.15863737,9.9878372e+11,3.5354997,721
254,0.99954897,0.1241418,9.7643548e+11,3.6495602,738
362,0.99976995,0.13905835,9.9618185e+11,3.6290936,720
514,0.99974726,0.12979929,9.9783122e+11,3.5551356,724
732,0.99735432,0.13294239,9.9484156e+11,3.6566396,740
1041,0.99849727,0.084786512,9.821036e+11,3.6941508,732
1482,0.99666395,0.098051144,9.9928534e+11,3.5997491,728
2108,0.99245722,0.20766278,9.923388e+11,3.5700398,725
3000,0.9972768,0.20494812,9.6972466e+11,3.6452473,731
3500,0.98738282,0.085141365,9.8796639e+11,3.6575375,947
