r,delta_logpsi
0.28593532,0.50175242
0.47870193,0.51222443
0.60038215,0.50687421
0.67704023,0.52666123
0.74626038,0.50234714
0.8124333,0.53621135
0.87495183,0.50535891
0.92036115,0.52139656
0.96031094,0.53630962
1.0044361,0.54244351
1.0416522,0.54224224
1.0783371,0.54265346
1.1214913,0.5512285
1.1598744,0.53623597
1.1903531,0.51829065
1.2301982,0.54160237
1.2723281,0.55018725
1.3143209,0.54385115
1.3538234,0.54146481
1.390967,0.57592403
1.4368373,0.57765801
1.4780562,0.59059395
1.5261724,0.60238873
1.5742575,0.59005
1.6295189,0.59945722
1.6812471,0.62230986
1.7533918,0.61614081
1.8358971,0.64125752
1.9371052,0.63332512
2.1787594,0.66959246
