r,delta_sr,delta_plain,residual
0.28593532,-0.0026774372,0.18269044,-0.0026774372
0.47870193,0.016334063,0.14749849,0.016334063
0.60038215,-0.01080972,0.1732653,-0.01080972
0.67704023,-0.016826474,0.10625853,-0.016826474
0.74626038,-0.014079085,0.19018507,-0.014079085
0.8124333,0.0089403184,0.072686586,0.0089403184
0.87495183,-0.018441941,0.17902575,-0.018441941
0.92036115,-0.0047136213,0.11760196,-0.0047136213
0.96031094,0.0098555117,0.082534795,0.0098555117
1.0044361,0.0036497863,0.054915119,0.0036497863
1.0416522,0.0053520665,0.058940403,0.0053520665
1.0783371,-0.0062485251,0.055291722,-0.0062485251
1.1214913,-0.0010374326,0.030561353,-0.0010374326
1.1598744,0.013797703,0.082723563,0.013797703
1.1903531,-0.00088982237,0.1455796,-0.00088982236
1.2301982,-0.0015855732,0.069373389,-0.0015855732
1.2723281,0.0071317372,0.041448529,0.0071317372
1.3143209,-0.012663953,0.055538213,-0.012663953
1.3538234,0.012109497,0.068022006,0.012109497
1.390967,-0.0099246178,-0.058745454,-0.0099246178
1.4368373,0.0076999591,-0.058340982,0.0076999591
1.4780562,0.02067103,-0.10357615,0.02067103
1.5261724,-0.001495796,-0.14514587,-0.001495796
1.5742575,-0.0029559139,-0.10342875,-0.0029559139
1.6295189,0.0058869062,-0.12736968,0.0058869062
1.6812471,0.0037446179,-0.21574924,0.0037446179
1.7533918,3.0019454e-05,-0.19200596,3.0019455e-05
1.8358971,-0.0059096857,-0.28220822,-0.0059096857
1.9371052,-0.0079846486,-0.24692096,-0.0079846486
2.1787594,0.0030625569,-0.37973185,0.0030625569
