r,J_learned,J_learned_std,count
2.5701949,31.789942,1.7620647,3072
3.6556427,32.211993,1.6958849,3072
4.2460705,32.275883,1.7125127,3072
4.7034788,32.48798,1.7652488,3072
5.0923521,32.538229,1.7503259,3072
5.4371785,32.620141,1.7765335,3072
5.7500134,32.561473,1.7735951,3072
6.0393441,32.670472,1.7781302,3072
6.3142106,32.746291,1.7672858,3072
6.5805939,32.785845,1.7591771,3072
6.8411089,32.711231,1.7911424,3072
7.0876264,32.687524,1.8267137,3072
7.330544,32.784289,1.772031,3072
7.5782859,32.780626,1.7604316,3072
7.8191233,32.797438,1.8180659,3072
8.0568187,32.769141,1.8028509,3072
8.2967358,32.829763,1.7963976,3072
8.5365947,32.868164,1.7631691,3072
8.7739214,32.878603,1.7496473,3072
9.0108743,32.838504,1.7891166,3072
9.2520381,32.890678,1.8169594,3072
9.4981802,32.885017,1.7338217,3072
9.7440468,32.912137,1.773042,3072
9.9981472,32.880892,1.7304458,3072
10.25663,32.953081,1.7283998,3072
10.517508,32.950081,1.735229,3072
10.784452,33.036774,1.72074,3072
11.063979,33.062539,1.7319253,3072
11.346069,33.068831,1.691659,3072
11.642675,33.115832,1.6610485,3072
11.951615,33.182509,1.6431728,3072
12.27755,33.199027,1.6306774,3072
12.6212,33.31811,1.6495567,3072
12.994062,33.420956,1.6003967,3072
13.406525,33.476254,1.6070423,3072
13.865019,33.627912,1.6006082,3072
14.402436,33.666903,1.5297151,3072
15.053881,33.870353,1.5233534,3072
15.945957,34.139278,1.4722852,3072
17.75619,34.737879,1.5058409,3072
