step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,0.9399405,0.13839564,4.8678397e+11,3.7829642,1023
78,0.89831435,0.079148893,8.0194704e+11,3.8269433,1023
198,0.84186581,0.12348154,9.9400274e+11,3.6110986,970
500,0.81150587,0.16969112,9.8291852e+11,3.673407,988
820,0.69523379,0.020974742,9.9411181e+11,3.6316954,1330
