tag,group,arch,backflow,paradigm,seed,omega,N,error_pct,var_EL,deff,bf_rank,T_full,dT_msg
A_ctnn_bf,A,ctnn,bf,vmcsr,0,0.01,6,-0.00512696411074006,1.878334798881602e-05,2.5112064762236055,1.0,0.03305089224804971,0.0416327428340064
A_ctnn_bf,A,ctnn,bf,vmcsr,0,0.1,6,0.12466425782669362,0.0009540370805942362,1.44739807656472,1.0,0.3213327168627834,0.18415403115880513
A_ctnn_bf,A,ctnn,bf,vmcsr,0,1.0,6,0.0133779761756024,0.061595679672762915,1.1285044555552444,10.024646724880759,3.7216188424778203,0.7932037856868739
A_ctnn_bf,A,ctnn,bf,vmcsr,1,0.1,6,0.11311375656356756,0.001138243360172638,1.639621167294458,1.0,0.3335892613259249,0.12251050542498676
A_ctnn_bf,A,ctnn,bf,vmcsr,1,1.0,6,0.069573970948401,0.06104658308662574,1.250977317493263,1.9376749789457193,3.5504240038392654,0.5419222879942671
A_ctnn_nobf,A,ctnn,nobf,vmcsr,0,0.01,6,-0.014684220429453007,2.0317160027209046e-05,2.569912726291396,nan,0.03262933337515104,0.05557759188077364
A_ctnn_nobf,A,ctnn,nobf,vmcsr,0,0.1,6,0.15610614685265678,0.001405790798796347,1.8182041479099442,nan,0.32728621425814364,0.1925846387129604
A_ctnn_nobf,A,ctnn,nobf,vmcsr,0,1.0,6,0.005628753372058331,0.06881813529741004,1.2184526044048531,nan,3.740073630987491,0.8478822280451417
A_ctnn_nobf,A,ctnn,nobf,vmcsr,1,0.01,6,nan,nan,1.0006712036045489,nan,nan,nan
A_ctnn_nobf,A,ctnn,nobf,vmcsr,1,0.1,6,0.15151264668594236,0.001172193997161569,1.5693043858204312,nan,0.3334751762767341,0.16155967193515147
A_ctnn_nobf,A,ctnn,nobf,vmcsr,1,1.0,6,0.0885840157835165,0.06910953764844507,1.2465789152212088,nan,3.425067158025887,0.7702514554992446
A_deepset_bf,A,deepset,bf,vmcsr,0,0.01,6,0.04091800588406184,3.611343237094981e-05,3.9253838567760484,1.0,0.03355771783405159,nan
A_deepset_bf,A,deepset,bf,vmcsr,0,0.1,6,0.23972744852053005,0.0018920246831223642,3.6338823690999513,1.0,0.3404853014884399,nan
A_deepset_bf,A,deepset,bf,vmcsr,0,1.0,6,-0.015235993599519215,0.10228750580972801,3.052300787828219,5.226320124951457,3.4969034812665845,nan
A_deepset_bf,A,deepset,bf,vmcsr,1,0.01,6,0.10309652081311363,3.673845680728559e-05,3.2328023369145957,1.0,0.03336465640425088,nan
A_deepset_bf,A,deepset,bf,vmcsr,1,0.1,6,0.17680998079607263,0.0018147412139514563,3.680552566853597,1.5265114555268688,0.33169384840094285,nan
A_deepset_bf,A,deepset,bf,vmcsr,1,1.0,6,0.04267664905975275,0.06075756250992336,2.8732042129704847,10.054750077552464,3.684076564071014,nan
A_deepset_nobf,A,deepset,nobf,vmcsr,0,0.01,6,0.06038101012591906,3.558291065613387e-05,4.145765467755315,nan,0.03345605472711564,nan
A_deepset_nobf,A,deepset,nobf,vmcsr,0,0.1,6,0.16553639044529722,0.0018533428926501316,3.61684387063809,nan,0.3346949782961818,nan
A_deepset_nobf,A,deepset,nobf,vmcsr,0,1.0,6,0.07890616645935701,0.10893977413294037,2.923118451783175,nan,3.4719642742684558,nan
A_deepset_nobf,A,deepset,nobf,vmcsr,1,0.01,6,0.04478960943545993,3.210217882176907e-05,4.402917094530622,nan,0.03334536738426279,nan
A_deepset_nobf,A,deepset,nobf,vmcsr,1,0.1,6,0.20849304531262683,0.001880397195668999,3.842088115024365,nan,0.32562851406947246,nan
A_deepset_nobf,A,deepset,nobf,vmcsr,1,1.0,6,0.08622883005328803,0.0939344105695924,3.099831215227873,nan,3.274626759182281,nan
B_ctnn_bf_colloc,B,ctnn,bf,colloc,0,0.01,6,-303.13721892520164,308.79233075635256,1.4497979220146278,1.0,43.46947716884908,-39.39602209488405
B_ctnn_bf_colloc,B,ctnn,bf,colloc,0,0.1,6,1.660316445126377,0.022505309890372964,1.3013246628848498,1.6054974220071845,0.3075564256027461,0.36781510063762646
B_ctnn_bf_colloc,B,ctnn,bf,colloc,0,1.0,6,1.1815782692986052,1.0722160850915503,1.0884800580734395,2.046002694472313,3.0658062092826563,3.95303467394503
B_ctnn_bf_colloc,B,ctnn,bf,colloc,1,0.01,6,996078.4898580133,74752067.33395344,1.1135130884197326,1.0,7351.4268141892035,1505.1435613313251
B_ctnn_bf_colloc,B,ctnn,bf,colloc,1,0.1,6,1.4691954231386126,0.02164118020756919,1.5031895288333035,1.0,0.300249723176518,0.18741050015014388
B_ctnn_bf_colloc,B,ctnn,bf,colloc,1,1.0,6,1.0253312589491463,0.8630507757030681,1.3658024207801889,1.6749142227474698,3.6022922347395037,1.710542721785833
C_ctnn_bf_vmcadam,C,ctnn,bf,vmcadam,0,0.01,6,-0.03661407657917625,2.2748839222163157e-05,2.6028790117806286,1.0,0.03355592461659638,0.07982363063506301
C_ctnn_bf_vmcadam,C,ctnn,bf,vmcadam,0,0.1,6,0.13722825730222998,0.001115300572840387,1.4217806981196337,1.0011170110095202,0.3203737119531619,0.27164549300056107
C_ctnn_bf_vmcadam,C,ctnn,bf,vmcadam,0,1.0,6,0.04252765556196641,0.059451785729575914,1.1680579290971245,10.12223379757937,3.368346673617321,0.7358339312302444
D_N12_deepset_bf_colloc,D,deepset,bf,colloc,0,0.1,12,290.6246728592128,0.9673659663074279,2.5155151457307428,1.0,0.889627417169675,nan
D_N12_deepset_bf_colloc,D,deepset,bf,colloc,0,1.0,12,242.3673749200588,20.815513066507325,5.094367207454561,1.384444861485293,10.113925703344082,nan
