step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99105254,0.26327616,5.4194678e+11,5.0140682,1023
88,0.99363397,0.23836559,4.6203857e+11,5.466093,1023
126,0.99864765,0.22888901,6.1074758e+10,5.7635516,1023
179,0.99968755,0.22512026,5.1753802e+10,5.6051992,1023
254,1,0.41138565,5.7321028e+09,7.4742265,1023
362,1,0.52235793,2.1801711e+09,8.9822814,1023
514,1,0.7490034,91062980,12.950631,1023
732,1,0.22796057,2.0565385e+08,4.4282686,1023
1041,1,0.19233798,13119050,11.586561,1023
1482,1,0.17002638,2035220.1,12.346148,1023
2108,1,0.10801076,1240809.6,6.4650254,1023
3000,1,0.13708664,910419.04,4.1452548,1023
3500,1,0.073831331,5408894.4,4.7001497,2047
