step,E_raw,E_clip,stderr,var
62,1.704624,1.704624,0.006879572,0.048162172
88,1.7022386,1.7022386,0.0072246258,0.049616023
126,1.6912637,1.6912637,0.0079124302,0.048174597
179,1.6803143,1.6803143,0.0076405891,0.047226381
254,1.6619588,1.6619588,0.0050427602,0.04597548
362,1.623699,1.623699,0.0064352019,0.041419964
514,1.4437491,1.4437491,0.0064890611,0.038081515
732,0.75717895,0.75717226,0.0020476005,0.003662799
1041,0.70988619,0.70978164,0.0010568824,0.0013454091
1482,0.69522895,0.69508857,0.00058924076,0.00022830032
2108,0.69374724,0.69379466,0.00037893176,9.2516233e-05
3000,0.69271199,0.69277412,0.0002527239,7.3237082e-05
3500,0.69232927,0.69243341,7.3461961e-05,6.1215599e-05
