N=20 omega=0.01 frames=42900
Top Cartesian PCA evals (body frame):
  PC1: eval=1.370607e+03
  PC2: eval=1.340626e+03
  PC3: eval=1.337456e+03
  PC4: eval=1.325998e+03
  PC5: eval=1.321850e+03
  PC6: eval=1.307268e+03
  PC7: eval=1.292417e+03
  PC8: eval=1.274923e+03
  PC9: eval=1.257925e+03
  PC10: eval=1.248854e+03
