N=6 omega=0.01 frames=30000
Top Cartesian PCA evals (body frame):
  PC1: eval=5.391249e+02
  PC2: eval=5.313446e+02
  PC3: eval=5.284883e+02
  PC4: eval=5.220367e+02
  PC5: eval=5.136813e+02
  PC6: eval=5.083171e+02
  PC7: eval=5.001437e+02
  PC8: eval=4.938047e+02
  PC9: eval=2.894047e+02
  PC10: eval=2.839309e+02
