step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99975441,0.59400936,5.6565675e+10,6.1577552,1023
88,0.99994002,0.65625023,2.8999412e+10,6.7225126,1023
126,1,0.55071835,5.7530567e+09,7.6672567,1023
179,1,0.61042768,6.9149808e+08,9.6324063,1023
254,1,0.76330886,1.1766995e+08,10.912597,1023
362,1,0.29038765,1.5318109e+08,5.0354615,1023
514,1,0.19824187,4032774.6,9.314985,1023
732,1,0.12625994,3049861.9,8.3712842,1023
1041,1,0.15608563,2225556.3,7.5137663,1023
1482,1,0.21879225,1273879,6.5889025,1023
2108,1,0.11851424,872574.22,6.4344441,1023
3000,1,0.19286677,675271.93,7.0706142,1023
3500,1,0.082503026,4733436.1,7.6598182,2047
