step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99984591,0.74054975,9.9795432e+11,2.3988451,721
88,0.99985646,0.7415703,9.9962011e+11,2.3928485,749
126,0.99984809,0.66792213,9.918531e+11,2.0089405,789
179,0.99972908,0.42541595,9.9007831e+11,1.6762788,881
254,0.99964623,0.18808625,9.9297769e+11,2.8380291,1002
362,0.99965355,0.094778314,9.8383107e+11,2.7321977,946
514,0.99867171,0.10781676,9.9252624e+11,2.4505067,902
732,0.99938542,0.21104568,9.4756195e+11,2.3812358,871
1041,0.99832718,0.16891787,9.8319072e+11,2.1855749,869
1482,0.99890456,0.28449799,9.9867462e+11,2.2876876,853
2108,0.9964206,0.11908646,9.8297787e+11,2.1883117,829
3000,0.9929809,0.076278866,9.935981e+11,2.187711,830
3500,0.98890178,0.12621579,9.9717139e+11,2.1645127,1104
