step,E_raw,E_clip,stderr,var
62,0.49595499,0.49595499,0.0042598826,0.025546927
88,0.4887518,0.4887518,0.0042319277,0.018579543
126,0.46244427,0.46244427,0.0033942148,0.010013201
179,0.4498693,0.44794172,0.0017992576,0.0029499795
254,0.44134465,0.4410416,0.00052374794,0.0003411559
362,0.44054265,0.4406338,0.00010811378,1.2818003e-05
514,0.44073331,0.44085531,6.9273778e-05,4.2669238e-06
732,0.44096115,0.44096846,2.6371071e-05,9.5007674e-07
1041,0.44082135,0.44086519,2.4419421e-05,4.9211091e-07
1482,0.44084434,0.44085153,1.3412631e-05,2.4977597e-07
2108,0.44086427,0.44086869,9.7157613e-06,1.2326493e-07
3000,0.44077812,0.44082633,9.1028482e-06,9.4182132e-08
3500,0.4408055,0.44083507,2.8576249e-06,5.3046438e-08
