step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,0.9215772,0.23588298,9.9115657e+11,1.0871303,990
78,0.93873489,0.09345725,3.8029993e+11,1.3479225,1023
198,0.92369886,0.13084346,1.6204813e+11,1.2617233,1023
500,0.99830211,0.021873624,1.3287759e+10,1.188395,1023
820,0.96382745,0.013975832,1.4511942e+11,1.2484841,2047
