file	N	omega_str	omega	mcmc::step_sigma	mcmc::acc_burn	mcmc::acc_mix	pinn.rho_in::eff_rank	pinn.rho_in::idim	pinn.rho_in::pr	backflow.dx::eff_rank	backflow.dx::idim	backflow.dx::pr	bf_sweep::dlogpsi(alpha=1.0)-dlogpsi(alpha=0.0)::mean	bf_sweep::logpsi(alpha=1.0)::std	phys_mean::r_mean	phys_mean::r_min	phys_mean::shell_contrast	backflow.dx::expvar_pc1	backflow.dx::expvar_pc2	backflow.dx::expvar_pc3	backflow::dx_decomp::com_energy_frac	backflow::dx_decomp::radial_frac_of_rel	backflow::dx_decomp::rel_energy_frac	backflow::dx_decomp::tangential_frac_of_rel	backflow::near_field_dx2_share@q=0.01	backflow::near_field_dx2_share@q=0.05	backflow::near_field_dx2_share@q=0.1	ctnn::dx_head::eff_rank_mean	ctnn::dx_head::idim_mean	ctnn::edge_embed::eff_rank_mean	ctnn::edge_embed::idim_mean	ctnn::edge_update::eff_rank_mean	ctnn::edge_update::idim_mean	ctnn::node_embed::eff_rank_mean	ctnn::node_embed::idim_mean	ctnn::node_update::eff_rank_mean	ctnn::node_update::idim_mean	ctnn::rho_e_to_v::eff_rank_mean	ctnn::rho_e_to_v::idim_mean	ctnn::rho_v_to_e::eff_rank_mean	ctnn::rho_v_to_e::idim_mean	phys_mean::Pr(r<0.25)	phys_mean::r_var	phys_std::Pr(r<0.25)	phys_std::r_mean	phys_std::r_min	phys_std::r_var	phys_std::shell_contrast	pinn.rho_in::expvar_pc1	pinn.rho_in::expvar_pc2	pinn.rho_in::expvar_pc3	pinn.rho_out::eff_rank	pinn.rho_out::expvar_pc1	pinn.rho_out::idim	pinn.rho_out::pr
N12_omega0p001.json	12	0.001	0.001	5.37945	0.523893	0.514676	1.34957	4.14217	1.15357	21.7483	15.7901	21.5044	-0.189207	2.94943	7.38105	2.5413	0.0730198	0.0596831	0.0568351	0.0547709	2.137e-34	0.711122	1	0.288878	1.19302	1.12957	1.06915	1.99853	1.54033	1.00597	2.33528	1.5194	4.1151	1.97208	1.47398	4.81187	4.90531	1.56472	3.80048	1.97851	1.37235	0	8.2135	0	0.274436	0.423451	0.849932	0.0100579	0.929136	0.0593379	0.00720849	1	1	1.14714	1
N12_omega0p01.json	12	0.01	0.01	1.30567	0.604008	0.618359	1.55246	3.89353	1.30559	21.6565	15.9933	21.3189	-0.0422696	1.83702	5.07461	1.49404	0.0636768	0.0640427	0.0594941	0.0562122	1.72721e-34	0.529429	1	0.470571	1.23703	1.2082	1.16825	1.99176	1.56347	1.01901	2.74076	2.6026	4.49553	1.99943	1.47618	6.288	5.18224	2.75638	3.96847	1.96497	1.37839	4.33727e-05	4.05215	0.000809494	0.220755	0.318368	0.377902	0.00895114	0.866324	0.124052	0.00418411	1	1	1.08463	1
N12_omega0p1.json	12	0.1	0.1	0.381393	0.634103	0.652023	3.06381	6.39598	1.99997	21.6867	16.5033	21.3756	-0.47856	1.50355	3.56883	0.834698	0.063881	0.062499	0.0594826	0.0553914	1.23446e-34	0.458693	1	0.541307	1.11448	1.12431	1.15501	1.99382	1.60004	1.06699	2.97833	3.70502	4.58643	1.99896	1.47168	5.92703	5.13328	3.76935	4.09454	1.9794	1.35356	0.000289151	2.14471	0.00207303	0.209585	0.247091	0.272353	0.00900872	0.691012	0.120216	0.052442	1	1	1.06297	1
N12_omega0p5.json	12	0.5	0.5	0.170926	0.630887	0.64645	2.18367	4.859	1.62934	21.4694	16.4374	20.9257	-0.189079	1.39456	2.90406	0.567804	0.0641526	0.073013	0.0667233	0.056249	1.24638e-34	0.537023	1	0.462977	0.985157	1.03972	1.0796	1.91129	1.59745	1.03665	2.60573	3.15668	3.70337	1.99775	1.47647	2.86718	3.35073	2.86211	3.37553	1.97943	1.40843	0.00125781	1.48675	0.00423246	0.212867	0.216321	0.232575	0.00902992	0.76664	0.15194	0.0500116	1	1	1.04866	1
N12_omega1p0.json	12	1.0	1	0.113629	0.641708	0.658893	1.98477	6.06198	1.39312	21.7336	16.8523	21.4773	-0.546295	1.41852	2.66969	0.491129	0.0646094	0.0584174	0.0571423	0.0554968	1.69739e-34	0.661835	1	0.338165	0.904299	0.994673	1.05322	1.79313	1.63464	1.04318	2.60093	2.9661	3.51678	1.99812	1.44433	2.6234	2.97496	2.90124	3.22975	1.97404	1.36682	0.00198068	1.28917	0.00539945	0.208952	0.206577	0.213367	0.00902719	0.843772	0.0551858	0.0427061	1	1	1.05554	1
N20_omega0p001.json	20	0.001	0.001	3.61868	0.548387	0.549122	3.30836	5.04768	2.72313	37.1399	22.6868	36.3276	-0.230147	8.16942	8.79754	1.9297	0.0519024	0.0369407	0.0367056	0.0358743	9.78019e-35	0.627844	1	0.372156	1.14841	1.11516	1.10249	1.71494	1.546	1.00431	2.01366	2.29311	2.91408	1.98279	1.43197	4.98114	3.99976	2.08456	2.85743	1.89506	1.3676	1.50663e-05	14.0475	0.000281193	0.232856	0.457587	0.80318	0.00658598	0.494921	0.329628	0.106617	1	1	1.07256	1
N20_omega0p01.json	20	0.01	0.01	0.98011	0.586288	0.602176	2.05866	5.0719	1.51369	37.1787	23.3755	36.401	0.040322	4.16033	6.1199	1.18565	0.0529074	0.038262	0.036288	0.0354164	2.42604e-17	0.589367	1	0.410633	1.13188	1.04615	1.03595	1.99385	1.57128	1.00604	2.21338	1.85127	3.44314	1.98241	1.44588	4.22411	4.11686	1.92039	3.11167	1.97607	1.34544	3.51547e-05	6.92354	0.000428706	0.218012	0.288869	0.548857	0.00662044	0.803169	0.110629	0.053853	1	1	1.07955	1
N20_omega0p1.json	20	0.1	0.1	0.285345	0.617844	0.634618	2.22465	5.51687	1.60426	36.9055	22.9604	35.7582	-0.118193	2.46919	4.25132	0.647403	0.0519481	0.0501745	0.0408284	0.0348626	7.48364e-35	0.483689	1	0.516311	0.884525	1.03303	1.05798	1.85783	1.59734	1.01478	2.52228	2.59994	3.64836	1.99561	1.44499	3.58549	3.80964	2.38889	3.39219	1.99252	1.36136	0.000175773	3.44386	0.000945636	0.177084	0.211518	0.307498	0.00663496	0.77718	0.122146	0.0629273	1	1	1.04871	1
N20_omega0p5.json	20	0.5	0.5	0.105066	0.632948	0.666221	2.11393	4.96667	1.60688	36.998	22.9488	36.0166	-0.988148	1.93588	3.09518	0.377623	0.0541369	0.0429509	0.0409399	0.0357352	6.62284e-35	0.629367	1	0.370633	1.03332	1.1059	1.06007	1.83246	1.59318	1.0197	2.4058	2.61089	3.45056	1.99782	1.47787	2.6265	3.02018	2.63451	3.01281	1.99323	1.40071	0.00120028	1.88647	0.00251076	0.18237	0.151337	0.226499	0.00656653	0.770239	0.165218	0.0388337	1	1	1.0647	1
N20_omega1p0.json	20	1.0	1	0.0683236	0.642032	0.679046	2.23227	4.44185	1.73456	37.2122	23.0933	36.4731	-1.49852	1.88722	2.79321	0.318091	0.0540205	0.0371583	0.035928	0.0349181	7.58188e-35	0.764476	1	0.235524	0.91627	1.02286	1.03896	1.71728	1.62717	1.02455	2.45049	2.85021	3.30765	1.99923	1.46722	2.522	2.89392	2.88623	3.05374	1.98765	1.40369	0.00197368	1.55823	0.00311723	0.173048	0.133975	0.20126	0.00685541	0.73381	0.182529	0.0680103	1	1	1.06453	1
