bfarch,seed,omega,error_pct,error_pct_raw,var_EL,deff,dx_mag,alive,bf_rank,T_full,Vc_full,dE_backflow,dT_backflow,dVc_backflow,err_pct_nobf,dE_msg,dT_msg,dVc_msg,dE_bf_over_w,dE_msg_over_w,N
conv,0,0.01,0.5821610075011235,0.5815331269016704,0.0003973876964900936,1.0727133378411469,0.13752756869648428,True,1.0,0.0845026721655408,1.5473407858497066,0.000798002368743056,-0.00046769746294508807,0.00044304687579677093,0.5854913237930032,nan,nan,nan,0.0798002368743056,nan,12
conv,0,0.1,0.14442978465377945,0.14408757952585968,0.012233055361536049,5.63752322070781,0.15414645343563502,True,21.73291729864329,0.7766697086545058,7.211507129104049,0.08463145073347356,0.1241730764624367,0.244559519228158,0.8508796843965996,nan,nan,nan,0.8463145073347356,nan,12
conv,0,0.28,0.09439818962207432,0.09562389084807657,0.052472739219321274,6.435275711159554,0.12404228962071102,True,21.81969493281447,2.12520572226856,14.217001678580324,0.15708046858048874,0.558514324151953,0.4237606493951507,0.7295879563248919,nan,nan,nan,0.5610016735017455,nan,12
conv,0,0.5,0.050631585998258,0.0505008386328601,0.11608666727019037,4.8587612484162,0.10092595132061512,True,21.80762103794568,4.190120746635097,20.554233514057035,0.2144065548193197,0.3372964231189455,0.4441080277610645,0.6584827328431988,nan,nan,nan,0.4288131096386394,nan,12
conv,0,1.0,0.08193144448597774,0.08179852420550754,0.35365770471046043,3.937048239544202,0.08489993835035166,True,22.10676852891584,8.572166161606518,31.978519255737964,0.14322162123899318,0.542737409518006,-0.24791938908489541,0.23182892789114581,nan,nan,nan,0.14322162123899318,nan,12
conv,1,0.01,0.5057930247733389,0.49899187072254025,0.0003977919298591114,1.063465039072059,0.12237259944859391,True,1.0,0.08425554410431227,1.5452552111366096,0.001107703378868674,-0.0013509615982245649,-0.0005350953901572808,0.6218776268449406,nan,nan,nan,0.11077033788686741,nan,12
conv,1,0.1,0.17057281791596104,0.16579577342484275,0.0141914026182892,6.198063289011287,0.15680329007419672,True,21.689362793559173,0.7887361623372974,7.193430206711631,0.08134066829008724,0.12364422254275675,0.21291993598360826,0.7923954670339043,nan,nan,nan,0.8134066829008724,nan,12
conv,1,0.28,0.07040346007454062,0.06970346051508562,0.05275565390623635,6.869458185207485,0.12918425295408537,True,21.74017312962394,2.070412789142482,14.137056449983273,0.16880537704520293,0.4770768976487849,0.28610175275365,0.7401288135692861,nan,nan,nan,0.6028763465900104,nan,12
conv,1,0.5,0.055087760399172,0.055339269045314644,0.11658749401681279,5.5136042422431375,0.10820107427368977,True,21.7592171861195,5.477469394284987,20.532253968238138,0.13531580138482013,-0.7172929095364093,0.2091277480990037,0.4514998818433592,nan,nan,nan,0.27063160276964027,nan,12
conv,1,1.0,0.0053677783144788415,0.0054130765748350695,0.39772068630733426,4.218685508641624,0.08917745333011819,True,22.331517840660325,9.30048407753767,32.05959719535189,0.17660645842741474,-0.14932258147021038,-0.5095616494862476,0.2476908799325688,nan,nan,nan,0.17660645842741474,nan,12
