step,E_raw,E_clip,stderr,var
62,1.6814916,1.6780415,0.0059703081,0.047063032
88,1.6586604,1.6598362,0.0036568283,0.013307376
126,1.6609471,1.6624432,0.0018204668,0.0019715032
179,1.6599009,1.6616466,0.00060410066,0.00051695413
254,1.6601316,1.6600003,0.00041607136,0.0001950418
362,1.6593633,1.6592804,0.00025667028,5.943444e-05
514,1.6600901,1.6596525,0.00015227818,3.0302394e-05
732,1.65977,1.6594943,0.00014242503,1.629398e-05
1041,1.6597825,1.6598274,0.00010955683,8.7048822e-06
1482,1.6597322,1.6596903,8.3801157e-05,6.7339537e-06
2108,1.6599566,1.6599445,6.6274453e-05,4.3741555e-06
3000,1.6597723,1.6598414,8.2669175e-05,5.0508407e-06
3500,1.6597521,1.6598131,1.6687583e-05,1.7759994e-06
