r,delta_logpsi
0.15833468,-0.36579316
0.27155845,-0.37139902
0.34282888,-0.38598679
0.40309115,-0.3694409
0.44656122,-0.37932702
0.48091176,-0.39495211
0.52120247,-0.39485427
0.55234578,-0.39807244
0.58917861,-0.38281369
0.61939455,-0.39882076
0.64063088,-0.39354354
0.67041921,-0.39905597
0.69558451,-0.40182336
0.721609,-0.40628323
0.74557404,-0.41323142
0.7755089,-0.4033291
0.80020206,-0.41581971
0.82586218,-0.41786873
0.8477871,-0.41332478
0.87162246,-0.42061121
0.90165475,-0.41504779
0.93325275,-0.42605723
0.9668926,-0.43719188
0.99589328,-0.43896102
1.0312193,-0.44444652
1.0788898,-0.44518487
1.1308198,-0.4620407
1.1923926,-0.46551806
1.2740947,-0.4769083
1.4492081,-0.51731184
