r,J_total,u_cusp,f_net
0.15833468,8.4383414,2.5833252,5.8550163
0.27155845,8.569701,2.645883,5.923818
0.34282888,8.7858973,2.624153,6.1617443
0.40309115,8.6164666,2.7491083,5.8673583
0.44656122,8.7399087,2.6984867,6.041422
0.48091176,8.9763508,2.6629502,6.3134007
0.52120247,8.9671282,2.6906486,6.2764796
0.55234578,9.0206945,2.6862709,6.3344236
0.58917861,8.8683494,2.7852344,6.083115
0.61939455,9.0437606,2.7254182,6.3183424
0.64063088,8.9804262,2.7751308,6.2052953
0.67041921,9.0766826,2.7306853,6.3459973
0.69558451,9.1043662,2.7325122,6.371854
0.721609,9.1748728,2.716605,6.4582677
0.74557404,9.2625883,2.6950526,6.5675357
0.7755089,9.1528762,2.7454844,6.4073918
0.80020206,9.2832596,2.688533,6.5947266
0.82586218,9.3428025,2.6817227,6.6610798
0.8477871,9.2607592,2.7399356,6.5208236
0.87162246,9.3879896,2.6887601,6.6992295
0.90165475,9.290532,2.7395334,6.5509987
0.93325275,9.4265961,2.6806682,6.7459279
0.9668926,9.5779743,2.6154464,6.9625279
0.99589328,9.599562,2.625372,6.97419
1.0312193,9.6629151,2.6018379,7.0610772
1.0788898,9.7021847,2.6212025,7.0809822
1.1308198,9.9030594,2.5394971,7.3635623
1.1923926,9.9277681,2.5189883,7.4087797
1.2740947,10.089151,2.481858,7.6072925
1.4492081,10.608191,2.2620706,8.3461206
