r,delta_sr,delta_plain,residual
0.15833468,0.013492757,0.2365187,0.013492757
0.27155845,0.022260926,0.20272801,0.022260926
0.34282888,-0.0095073892,0.13548574,-0.0095073892
0.40309115,-0.0043896253,0.20453752,-0.0043896253
0.44656122,-0.0015160439,0.16446824,-0.0015160439
0.48091176,0.0070804027,0.10213589,0.0070804027
0.52120247,-0.0054014338,0.093184779,-0.0054014338
0.55234578,0.00056882034,0.076965312,0.00056882034
0.58917861,0.011556166,0.14353923,0.011556166
0.61939455,-0.0022851078,0.065627221,-0.0022851078
0.64063088,-0.003682088,0.089269466,-0.003682088
0.67041921,-0.0059041292,0.075018153,-0.0059041292
0.69558451,0.0088227654,0.060296431,0.0088227654
0.721609,0.00039418615,0.040306899,0.00039418615
0.74557404,-0.0020978695,0.0099299785,-0.0020978695
0.7755089,-0.0029292897,0.049804756,-0.0029292897
0.80020206,0.0011252543,-0.0056483909,0.0011252543
0.82586218,-0.0058545466,-0.007509179,-0.0058545466
0.8477871,0.004783825,0.0076932068,0.004783825
0.87162246,-0.0023898739,-0.022316738,-0.0023898739
0.90165475,-0.0011327898,-0.0041300056,-0.0011327898
0.93325275,-0.0069539769,-0.051539008,-0.0069539769
0.9668926,-0.0047351532,-0.099185203,-0.0047351532
0.99589328,-0.0016786893,-0.11141853,-0.0016786893
1.0312193,-0.00083252085,-0.14014574,-0.00083252085
1.0788898,-0.0068488868,-0.12813503,-0.0068488868
1.1308198,0.0033499357,-0.21279891,0.0033499357
1.1923926,0.0044027464,-0.23173364,0.0044027464
1.2740947,-0.0017764897,-0.28193199,-0.0017764897
1.4492081,-0.0081707943,-0.45710429,-0.0081707943
