E_mean,N,arch,bf_rank,error_pct,hole_capture,hole_pure_capture,hole_pure_capture_abl,nonphys_mass,nonphys_mass_abl,omega,r2_leading,r2_leading_abl,seed,trained_ok
20.159094650767106,6,CTNN,9.93975857762943,-0.0011178414395694447,0.9615348390284959,0.42220015918402576,0.6717204904896563,0.06101331944809375,0.02805117581010477,1.0,0.9906484766169015,0.9997415208117035,0,True
20.159127382703968,6,DeepSet,9.937329795600961,-0.0009554751650013417,0.9923440756203836,0.616617568036903,,0.43858698711627436,,1.0,0.9961438929010733,,0,True
11.780985456333845,6,CTNN,10.0086407155692,-0.03270764529816372,0.9728109971800559,0.6045935338796291,0.7344145943652104,0.07650348949854152,0.032648403811217266,0.5,0.9879972187226549,0.9995649655778205,0,True
11.782966837142874,6,DeepSet,10.042372622897343,-0.015894682126585395,0.9949402481882306,0.6980467321574526,,0.48352976582648644,,0.5,0.9950610156073377,,0,True
7.598728456330652,6,CTNN,10.09107330410072,nan,0.9841581060997588,0.7772980975645982,0.8034891674067922,0.07533448288122467,0.051189521023437046,0.28,0.9889901720008552,0.9998338859130345,0,True
7.599854549105932,6,DeepSet,10.062884307688503,nan,0.992502341594967,0.710863420176879,,0.5691971302044705,,0.28,0.9833024255527442,,0,True
3.5531045548540594,6,CTNN,10.039695489641447,-0.020975706513802515,0.9168810106306438,0.5871109211667112,0.9077550212237795,0.1895172539722382,0.09055759209294954,0.1,0.9767649962430381,0.9989474399718018,0,True
3.555511600828725,6,DeepSet,10.0800250465744,0.04675495107348108,0.9702521147032908,0.6840106797997061,,0.5896832434036202,,0.1,0.9707057738142981,,0,True
2.1531279936562844,6,CTNN,10.14197004590094,nan,0.8783065756637072,0.6559670369569864,0.9301823102087751,0.21854727419738143,0.13677658530785214,0.05,0.9649347356635337,0.9982742865034334,0,True
2.15584639766506,6,DeepSet,2.2060200204870513,nan,0.7234077162802377,0.06919660560698243,,0.651334509084552,,0.05,0.8932687854775856,,0,True
1.4956963391047908,6,CTNN,10.023049145261492,nan,0.8173413476165523,0.5815440099613637,0.948390458054829,0.34218948272684746,0.17065126740178527,0.03,0.9553791482149077,0.9990695172574671,0,True
1.4967614103367701,6,DeepSet,1.0,nan,0.6939655475551435,0.0774200952270898,,0.6100047146592648,,0.03,0.8850531073143855,,0,True
0.6899456476624993,6,CTNN,1.0,-0.0600197487543666,0.5431021891758561,0.2504612801946267,0.9047117373031337,0.4686968280535665,0.4708875312428495,0.01,0.9467279342544391,0.9961395235144924,0,True
0.6909665052857927,6,DeepSet,1.0,0.08785348018320265,0.4922513596156131,0.07227830859663976,,0.7814303205061074,,0.01,0.013242303410299049,,0,True
0.6899644429443094,6,CTNN,1.0,-0.05729721532108025,0.5230719708869899,0.15952424345088617,0.9284292541009996,0.47469663895840397,0.32040897399661683,0.01,0.916968126186061,0.997955704157266,1,True
0.6905371442329962,6,DeepSet,1.0,0.025659689581695906,0.4434257020466293,0.069244763402626,,0.7762736107870911,,0.01,0.02137053566992725,,1,True
0.6901440154249229,6,CTNN,1.0,-0.03128578930950511,0.5389261328949422,0.20309513096895165,0.823482048315893,0.454469166517957,0.39741724291472247,0.01,0.9248370281420266,0.9987382772595021,2,True
0.6906592670336927,6,DeepSet,1.0000183761335155,0.04334941678149991,0.5146002005360317,0.05039999829520032,,0.7731793851693352,,0.01,0.0085577676464536,,2,True
69.05455361967849,12,DeepSet,1.0,5.105705500719908,0.7341658642326222,0.08287536160481489,,0.5166132813590808,,1.0,0.8762435770640725,,0,False
65.69389780975025,12,CTNN,20.86004336337639,-0.009440153439267204,0.9826410623534073,0.7768201836291797,,0.001692408947845302,,1.0,0.9996899944205768,,0,True
65.70015028219116,12,CTNN,20.70151991599058,7.653289896649031e-05,0.9828783212634942,0.7567968676951015,,0.005192265515319556,,1.0,0.9996775303692165,,1,True
39.162363970183314,12,CTNN,21.365325728765413,0.0070582186317445636,0.9798348103442011,0.7830540736074555,,0.0023987278745655374,,0.5,0.99966145764913,,0,True
39.15066561565587,12,CTNN,21.513149364289657,-0.022815310534657792,0.9779651891440907,0.8592335052534706,,0.005040282776766333,,0.5,0.9995457970003624,,1,True
12.269346010940374,12,CTNN,18.645470450014766,-0.0037000526465433034,0.9844541070332016,0.9225906536505506,,0.0034985186165149467,,0.1,0.9992275377676516,,0,True
12.271977345393898,12,CTNN,17.726452742013677,0.017745565485158866,0.9835706078866002,0.9515947058417937,,0.006137747335639329,,0.1,0.999155067429177,,1,True
2.4734969334994408,12,CTNN,20.57783717042406,-0.005379401954181515,0.610730988660445,0.4222031642479,,0.016916216932294045,,0.01,0.9998978513706145,,0,True
2.4735369950003605,12,CTNN,21.039382430923883,-0.0037598589780803893,0.6391583193088226,0.46721317639678805,,0.01694708332993309,,0.01,0.9997293366822422,,1,True
