omega,ckpt,arm,T,V_trap,V_coul,E
1.0,2026-06-15_N6_w1_ctnn_big_bf_acc,msg+bf,3.552699835245513,7.924284167514491,8.671623206523915,20.148607209283917
1.0,2026-06-15_N6_w1_ctnn_big_bf_acc,nomsg+bf,4.334470128706112,7.924284167514491,8.671623206523915,20.93037750274452
1.0,2026-06-15_N6_w1_ctnn_big_bf_acc,msg+nobf,4.684679221132147,7.924284167514491,8.671623206523915,21.280586595170554
1.0,2026-06-15_N6_w1_ctnn_big_bf_acc,nomsg+nobf,5.63853197511987,7.924284167514491,8.671623206523915,22.234439349158276
0.1,2026-06-15_N6_w01_ctnn_big_bf_casc,msg+bf,0.3439090967605478,1.2993755205642195,1.9233235352226101,3.5666081525473774
0.1,2026-06-15_N6_w01_ctnn_big_bf_casc,nomsg+bf,0.5363456887135615,1.2993755205642195,1.9233235352226101,3.759044744500391
0.1,2026-06-15_N6_w01_ctnn_big_bf_casc,msg+nobf,0.3953312097108441,1.2993755205642195,1.9233235352226101,3.6180302654976737
0.1,2026-06-15_N6_w01_ctnn_big_bf_casc,nomsg+nobf,0.6099474159494611,1.2993755205642195,1.9233235352226101,3.8326464717362905
0.01,2026-07-02_N6_w001_ctnn_s0,msg+bf,0.03349891275776415,0.24161786504307947,0.41523687644600105,0.6903536542468447
0.01,2026-07-02_N6_w001_ctnn_s0,nomsg+bf,0.09662594182133918,0.24161786504307947,0.41523687644600105,0.7534806833104197
0.01,2026-07-02_N6_w001_ctnn_s0,msg+nobf,0.033612016737081356,0.24161786504307947,0.41523687644600105,0.6904667582261619
0.01,2026-07-02_N6_w001_ctnn_s0,nomsg+nobf,0.09656921634800175,0.24161786504307947,0.41523687644600105,0.7534239578370823
0.01,2026-07-02_N6_w001_ctnn_s1,msg+bf,0.03447967588368668,0.24149659703996357,0.41546744854633266,0.6914437214699829
0.01,2026-07-02_N6_w001_ctnn_s1,nomsg+bf,0.13961568741229066,0.24149659703996357,0.41546744854633266,0.7965797329985869
0.01,2026-07-02_N6_w001_ctnn_s1,msg+nobf,0.034571135435489564,0.24149659703996357,0.41546744854633266,0.6915351810217858
0.01,2026-07-02_N6_w001_ctnn_s1,nomsg+nobf,0.13952114386806302,0.24149659703996357,0.41546744854633266,0.7964851894543592
0.01,2026-07-02_N6_w001_ctnn_s2,msg+bf,0.0337281354243967,0.24065443286135002,0.41594822937935494,0.6903307976651016
0.01,2026-07-02_N6_w001_ctnn_s2,nomsg+bf,0.1014657783320719,0.24065443286135002,0.41594822937935494,0.7580684405727769
0.01,2026-07-02_N6_w001_ctnn_s2,msg+nobf,0.03384864830859633,0.24065443286135002,0.41594822937935494,0.6904513105493013
0.01,2026-07-02_N6_w001_ctnn_s2,nomsg+nobf,0.1014395442435449,0.24065443286135002,0.41594822937935494,0.7580422064842498
