step,cka_vs_final
0,0.93210651
100,0.99926822
200,0.99941239
300,0.99957185
400,0.99974514
500,0.99988412
600,0.9999428
700,0.99995728
800,0.99996765
900,0.99996856
1000,0.99996655
1100,0.99997615
1200,0.9999844
1300,0.99999325
1400,0.99999717
1499,1
