r,delta_sr,delta_plain,residual
0.33809853,-0.070945484,-0.53311572,-0.069061088
0.56990786,0.0077007845,-0.47717189,0.0086177096
0.71878951,0.0027615825,-0.43049757,0.0015625336
0.83470097,0.00028256158,-0.38869263,-0.00074500825
0.92739387,-4.1090853e-05,-0.35200359,-0.00018080248
1.0074887,0.0005056613,-0.31819887,0.0010578947
1.0775651,0.0014805956,-0.28693775,0.0022329061
1.1466251,0.0025181591,-0.2551961,0.0031060727
1.2012333,0.0033035938,-0.22923207,0.0035576945
1.2549588,0.0038445453,-0.20299017,0.0037538158
1.3240164,0.0040563959,-0.16853249,0.0036356035
1.3734382,0.0040327188,-0.14332875,0.0034532833
1.4301784,0.0037650485,-0.11420918,0.0031092249
1.4873167,0.0033664886,-0.084593637,0.0027525013
1.5481919,0.002657946,-0.052665474,0.0023303786
1.6222907,0.0020466878,-0.013451591,0.0019168299
1.6798163,0.0015371118,0.017025857,0.0017069137
1.7356422,0.0012609888,0.046601588,0.0016116536
1.8026382,0.0010827925,0.081884622,0.00154595
1.8723077,0.0012641774,0.11872473,0.0016021133
1.9337345,0.0015019802,0.15071488,0.0017441226
2.0074567,0.0018892489,0.18901549,0.0018880769
2.0899605,0.0023773337,0.23120072,0.0021032349
2.1801985,0.0028301948,0.27648057,0.0023649565
2.2678722,0.0031057609,0.31959495,0.0025662389
2.3804351,0.0030683148,0.37370265,0.0027330061
2.5069289,0.0028256786,0.43238618,0.0028212726
2.6456283,0.0023089659,0.49395275,0.0027345495
2.8511675,0.0022647782,0.58034108,0.0024667593
3.2731822,0.0021631877,0.73745298,0.0018134957
