arch,seed,error_pct,var_EL,deff,kappa,no_pr,no_trace
ctnn,0,-0.012045054021233167,1.952032334099806e-05,3.7529311637592446,548625405931.15326,6.287738805872479,1.9588691069086261
ctnn,1,-0.04362068622725292,1.6085880848107053e-05,3.6595415135844256,536472067302.4359,5.98332049193148,1.848525430900665
ctnn,2,-0.03349929665021032,1.8605033129381937e-05,3.6788161686065486,982880937518.4474,6.124037163184666,1.8362016458233987
deepset,0,0.08221256206544657,3.32016301424743e-05,3.736655169758153,998624362347.912,6.005196107243291,1.9855528545392982
deepset,1,0.05878574518945628,3.318515590504439e-05,3.8635916024041217,999013141862.2577,6.0067412438856085,1.8057616341613176
deepset,2,0.07542456251970757,3.36249680858996e-05,3.9334492424217156,998294538509.8375,6.414057996798659,1.854877544652683
