step,E_raw,E_clip,stderr,var
62,0.13197031,0.13197031,0.0017032646,0.0023498806
88,0.13021066,0.13021066,0.0014967515,0.0020586703
126,0.1278547,0.12786181,0.0016211661,0.0021060064
179,0.12266502,0.12266502,0.0011447666,0.0018759632
254,0.11975779,0.11975779,0.0010101365,0.0016625476
362,0.095556898,0.095556898,0.0012052092,0.00097856108
514,0.078256691,0.077703215,0.00044514728,0.00018057262
732,0.074085502,0.073480075,6.6550139e-05,3.3173625e-06
1041,0.073823041,0.07380342,1.1153397e-05,1.414409e-07
1482,0.073859035,0.073838987,6.0306298e-06,2.9269459e-08
2108,0.073853391,0.073838645,2.5442191e-06,6.8297395e-09
3000,0.073798395,0.073836136,1.6530601e-06,3.9295591e-09
3500,0.073831603,0.073835632,5.8575365e-07,2.9970553e-09
