N,arch,n_params,deff_mean,deff_std,n_seeds
6,ctnn,66498,2.086307839526539,0.7675412353098827,3
6,deepset,34354,3.5974541698642,0.7866399608602851,3
12,ctnn,66498,1.6313846024266467,0.47002230396997363,3
12,deepset,34354,3.4865080187480832,0.6137608109251907,3
20,ctnn,66498,1.4392226750553607,0.23802866810886544,3
20,deepset,34354,3.6874293855308067,0.9705498757045903,3
