N=20 omega=0.001 frames=25200
Top Cartesian PCA evals (body frame):
  PC1: eval=3.664503e+04
  PC2: eval=3.541522e+04
  PC3: eval=3.485060e+04
  PC4: eval=3.324293e+04
  PC5: eval=3.263863e+04
  PC6: eval=3.188206e+04
  PC7: eval=3.058018e+04
  PC8: eval=2.904114e+04
  PC9: eval=2.835409e+04
  PC10: eval=2.746544e+04
