step,E_raw,E_clip,stderr,var
75,3.5568814,3.5563199,0.0016147273,0.00098115046
159,3.5524206,3.5523963,0.0020931192,0.00085769378
335,3.5530032,3.5532392,0.0017160237,0.00085692811
709,3.5541473,3.5536325,0.0016638356,0.00068407757
1500,3.5518319,3.5516026,0.0018531955,0.00068926155
